table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E12_05_Potassic_Fertilizer,Potassic Fertilizer (China Statistical Yearbook table E12_05),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_07_Area_with_Flood_Prevention_Measures,Area with Flood Prevention Measures (China Statistical Yearbook table E12_07),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_07_Area_with_Soil_Erosion_under_Control,Area with Soil Erosion under Control (China Statistical Yearbook table E12_07),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_07_Capacity_of_Reservoirs,Capacity of Reservoirs (China Statistical Yearbook table E12_07),numeric,non-negative numeric; see unit,100_million_cu_m,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_07_Number_of_Reservoirs,Number of Reservoirs (China Statistical Yearbook table E12_07),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Beans,Beans (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Beetroots,Beetroots (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Cereals,Cereals (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Corn,Corn (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Cotton,Cotton (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Fiber_Crops,Fiber Crops (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Flue_cured_Tobacco,Flue cured Tobacco (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Oil_bearing_Crops,Oil bearing Crops (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Orchards,Orchards (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Peanuts,Peanuts (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Rapeseeds,Rapeseeds (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Rice,Rice (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Sesame,Sesame (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Sown_Area_of_Grain_Crops,Sown Area of Grain Crops (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Soybeans,Soybeans (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Sugar_Crops,Sugar Crops (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Sugarcane,Sugarcane (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Tea_Plantations,Tea Plantations (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Tobacco,Tobacco (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Total_Sown_Area,Total Sown Area (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Tubers,Tubers (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Vegetables,Vegetables (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_08_Wheat,Wheat (China Statistical Yearbook table E12_08),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Apples,Apples (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Bananas,Bananas (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Beans,Beans (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Beetroots,Beetroots (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Cereals,Cereals (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Citrus,Citrus (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Corn,Corn (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Cotton,Cotton (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Fiber_Crops,Fiber Crops (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Flue_cured_Tobacco,Flue cured Tobacco (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Fruits,Fruits (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Grain,Grain (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Grapes,Grapes (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Mulberry_Silkworm_Cocoons,Mulberry Silkworm Cocoons (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Oil_bearing_Crops,Oil bearing Crops (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Peanuts,Peanuts (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Pears,Pears (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Rapeseeds,Rapeseeds (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Rice,Rice (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Sesame,Sesame (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Silkworm_Cocoons,Silkworm Cocoons (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Soybeans,Soybeans (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Sugar_Crops,Sugar Crops (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Sugarcane,Sugarcane (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Tea,Tea (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Tobacco,Tobacco (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Tubers,Tubers (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_10_Wheat,Wheat (China Statistical Yearbook table E12_10),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Camels,Camels (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Cattle_and_Buffaloes,Cattle and Buffaloes (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Donkeys,Donkeys (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Goats,Goats (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Hogs_year_end,Hogs year end (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Horses,Horses (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Large_Animals_year_end,Large Animals year end (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Mules,Mules (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Sheep,Sheep (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Sheep_and_Goats_year_end,Sheep and Goats year end (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_13_Slaughtered_Hogs,Slaughtered Hogs (China Statistical Yearbook table E12_13),numeric,non-negative numeric; see unit,10000_heads,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Beef,Beef (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Cashmere,Cashmere (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,ton,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Cow_Milk,Cow Milk (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Fine_Wool,Fine Wool (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,ton,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Goat_Raw_Wool,Goat Raw Wool (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,ton,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Honey,Honey (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Milk,Milk (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Mutton,Mutton (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Output_of_Meat,Output of Meat (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Pork,Pork (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Pork_Beef_and_Mutton,Pork Beef and Mutton (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Poultry_Eggs,Poultry Eggs (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Semi_Fine_Wool,Semi Fine Wool (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,ton,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_14_Sheep_Wool,Sheep Wool (China Statistical Yearbook table E12_14),numeric,non-negative numeric; see unit,ton,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Aquacultural_Products,Freshwater Aquacultural Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Aquatic_Products,Freshwater Aquatic Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Fish,Freshwater Fish (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Fishing_Products,Freshwater Fishing Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Others,Freshwater Others (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Shellfish,Freshwater Shellfish (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Freshwater_Shrimps_Prawns_and_Crabs,Freshwater Shrimps Prawns and Crabs (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Algae,Marine Algae (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Aquacultural_Products,Marine Aquacultural Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Aquatic_Products,Marine Aquatic Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Fish,Marine Fish (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Fishing_Products,Marine Fishing Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Others,Marine Others (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Shellfish,Marine Shellfish (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Marine_Shrimps_Prawns_and_Crabs,Marine Shrimps Prawns and Crabs (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_15_Total_Aquatic_Products,Total Aquatic Products (China Statistical Yearbook table E12_15),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_07_Annual_Average_Employees,Annual Average Employees (China Statistical Yearbook table E13_07),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_07_Number_of_Enterprises,Number of Enterprises (China Statistical Yearbook table E13_07),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_07_Total_Assets,Total Assets (China Statistical Yearbook table E13_07),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_07_Total_Profits,Total Profits (China Statistical Yearbook table E13_07),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_11_Annual_Average_Employees,Annual Average Employees (China Statistical Yearbook table E13_11),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_11_Number_of_Enterprises,Number of Enterprises (China Statistical Yearbook table E13_11),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_11_Total_Assets,Total Assets (China Statistical Yearbook table E13_11),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_11_Total_Profits,Total Profits (China Statistical Yearbook table E13_11),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Air_Conditioners,Air Conditioners (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Beer,Beer (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_kiloliters,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
